Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,Id.1,Id
Jacek Kotlowski,Jacek Kotlowski,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,1,jacek kotlowski,Jacek Kotlowski
Robert Borowski,Robert Borowski,Noise,,2,1,robert borowski,Robert Borowski
Andrzej Kociecki,Andrzej Kociecki,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,2,andrzej kociecki,Andrzej Kociecki
Michal Gradzewicz,Michal Gradzewicz,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,michal gradzewicz,Michal Gradzewicz
Berit Hasler,Berit Hasler,Noise,,2,1,berit hasler,Berit Hasler
Turgut B,Turgut B,Noise,,2,2,burak turgut,Turgut B
Andrzej Jacyna,Andrzej Jacyna,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,andrzej jacyna,Andrzej Jacyna
Marcin Czech,Marcin Czech,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,marcin czech,Marcin Czech
Kari Hyytiainen,Kari Hyytiainen,Noise,,2,1,kari hyytiainen,Kari Hyytiainen
Mitchell W moncrieff,Mitchell W moncrieff,Noise,,2,1,mitchell w moncrieff,Mitchell W Moncrieff
Agnieszka Tuszynska,Agnieszka Tuszynska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,agnieszka tuszynska,Agnieszka Tuszynska
Xiaoqing Wu,Xiaoqing Wu,Noise,,2,1,xiaoqing wu,Xiaoqing Wu
Bechtold P,Bechtold P,Noise,,2,1,bechtold p,Bechtold P
Maciej Duszczyk,Maciej Duszczyk,Noise,,2,1,maciej duszczyk,Maciej Duszczyk
Grzegorz Szafranski,Grzegorz Szafranski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,2,grzegorz szafranski,Grzegorz Szafranski
Rashid Saeed,Rashid Saeed,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,1,rashid saeed,Rashid Saeed
Andrzej Wieczorkiewicz,Andrzej Wieczorkiewicz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,1,andrzej wieczorkiewicz,Andrzej Wieczorkiewicz
Michal Wozniak,Michal Wozniak,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,1,michal wozniak,Michal Wozniak
Maciej Wysocki,Maciej Wysocki,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",2,2,maciej wysocki,Maciej Wysocki
Jacob Lariviere,Jacob Lariviere,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",2,1,jacob lariviere,Jacob Lariviere
Maciej Sobolewski,Maciej Sobolewski,Noise,,2,1,sobolewski maciej,Sobolewski Maciej
Piotr Popowski,Piotr Popowski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,1,piotr popowski,Piotr Popowski
Leszek Kasek,Leszek Kasek,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",2,2,leszek kasek,Leszek Kasek
Muhammad Ilyas,Muhammad Ilyas,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",2,1,muhammad ilyas,Muhammad Ilyas
Krzysztof Wojtowicz,Krzysztof Wojtowicz,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",2,2,krzysztof wojtowicz,Krzysztof Wojtowicz
Janusz Gajda,Janusz Gajda,Noise,,2,2,janusz gajda,Janusz Gajda
Tomasz Zylicz,Tomasz Zylicz,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,1,tomasz zylicz,Tomasz Zylicz
Richard T carson,Richard T carson,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",2,1,richard t carson,Richard T Carson
Greg Kaplan,Greg Kaplan,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,1,greg kaplan,Greg Kaplan
Marcin Jakubek,Marcin Jakubek,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,marcin jakubek,Marcin Jakubek
Jerzy Sleszynski,Jerzy Sleszynski,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,2,jerzy sleszynski,Jerzy Sleszynski
Margrethe Aanesen,Margrethe Aanesen,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",2,1,margrethe aanesen,Margrethe Aanesen
Emilio Ernesto porta,Emilio Ernesto porta,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",2,2,emilio ernesto porta,Emilio Ernesto Porta
Jannike Falk-petersen,Jannike Falk-petersen,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",2,1,jannike falkpetersen,Jannike Falk-Petersen
Ewa Chlebus,Ewa Chlebus,Noise,,2,2,ewa chlebus,Ewa Chlebus
Marcin Waniek,Marcin Waniek,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,2,marcin waniek,Marcin Waniek
Nikolai Stahler,Nikolai Stahler,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,nikolai stahler,Nikolai Stahler
Harry Anthony patrinos,Harry Anthony patrinos,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",2,2,harry anthony patrinos,Harry Anthony Patrinos
Pintus P,Pintus P,Noise,,2,2,patrick pintus,Pintus P
Lian-ping Wang,Lian-ping Wang,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",2,2,lianping wang,Lian-Ping Wang
Piotr K smolarkiewicz,Piotr K smolarkiewicz,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",2,1,piotr k smolarkiewicz,Piotr K Smolarkiewicz
Oleksandr Rohozynsky,Oleksandr Rohozynsky,Noise,,1,1,oleksandr rohozynsky,Oleksandr Rohozynsky
Isabella Moder,Isabella Moder,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,isabella moder,Isabella Moder
Jarko Fidrmuc,Jarko Fidrmuc,Noise,,1,1,jarko fidrmuc,Jarko Fidrmuc
Filippo Di mauro,Filippo Di mauro,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,filippo di mauro,Filippo Di Mauro
Barbara Karbownik,Barbara Karbownik,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,barbara karbownik,Barbara Karbownik
Anna Ruzik,Anna Ruzik,Noise,,1,1,anna ruzik,Anna Ruzik-Sierdzinska
Marek Gora,Marek Gora,Noise,,1,1,marek gora,Marek Gora
Magdalena Rokicka,Magdalena Rokicka,Noise,,1,1,magdalena rokicka,Magdalena Rokicka
Kula Gj,Kula Gj,Noise,,1,1,kula gj,Kula Gj
Ewa Stawasz-grabowska,Ewa Stawasz-grabowska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,ewa stawaszgrabowska,Ewa Stawasz-Grabowska
Grazyna Bukowska,Grazyna Bukowska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,bukowska grazyna,Bukowska Grazyna
Axel Bruggemann,Axel Bruggemann,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,axel bruggemann,Axel Bruggemann
Marcin Humanicki,Marcin Humanicki,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,marcin humanicki,Marcin Humanicki
Joel Graca alves,Joel Graca alves,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,joel graca alves,Joel Graca Alves
Floriane Van den,Floriane Van den,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,floriane van den,Floriane Van Den
Michal Greszta,Michal Greszta,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,michal greszta,Michal Greszta
Ewa Askman,Ewa Askman,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,ewa askman,Ewa Askman
Rafael Cezar,Rafael Cezar,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,rafael cezar,Rafael Cezar
Juan Carlos berganza,Juan Carlos berganza,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,juan carlos berganza,Juan Carlos Berganza
Anastasia Theofilakou,Anastasia Theofilakou,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,anastasia theofilakou,Anastasia Theofilakou
Alberto Fuentes,Alberto Fuentes,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,alberto fuentes,Alberto Fuentes
Valerio Nispi landi,Valerio Nispi landi,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,valerio nispi landi,Valerio Nispi Landi
Clement Marsilli,Clement Marsilli,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,clement marsilli,Clement Marsilli
Markus Eller,Markus Eller,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,markus eller,Markus Eller
Carlijn Eijking,Carlijn Eijking,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,carlijn eijking,Carlijn Eijking
Luis Molina sanchez,Luis Molina sanchez,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,luis molina sanchez,Luis Molina Sanchez
Lilian Kreitz,Lilian Kreitz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,lilian kreitz,Lilian Kreitz
Alain Naef,Alain Naef,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,alain naef,Alain Naef
Janet C gornick,Janet C gornick,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",1,1,janet c gornick,Janet C Gornick
Malgorzata Walerych,Malgorzata Walerych,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,malgorzata walerych,Malgorzata Walerych
Michal Wrzesinski,Michal Wrzesinski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,michal wrzesinski,Michal Wrzesinski
Aleksandra Kolasa,Aleksandra Kolasa,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,aleksandra kolasa,Aleksandra Kolasa
Roland Beck,Roland Beck,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,roland beck,Roland Beck
Tomasz Lyziak,Tomasz Lyziak,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,tomasz lyziak,Tomasz Lyziak
Mateusz Pipien,Mateusz Pipien,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,mateusz pipien,Mateusz Pipien
Ewa Stanislawska,Ewa Stanislawska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,ewa stanislawska,Ewa Stanislawska
Karol Szafranek,Karol Szafranek,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,karol szafranek,Karol Szafranek
Dorota Scibisz,Dorota Scibisz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,dorota scibisz,Dorota Scibisz
Ewa Wrobel,Ewa Wrobel,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,ewa wrobel,Ewa Wrobel
Oliver De groot,Oliver De groot,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,oliver de groot,Oliver De Groot
Vedat Sinan szczygielski,Vedat Sinan szczygielski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,vedat sinan szczygielski,Vedat Sinan Szczygielski
Caju Pd,Caju Pd,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,caju pd,Caju Pd
Casado Jm,Casado Jm,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,casado jm,Casado Jm
Paloma Lopez-garcia,Paloma Lopez-garcia,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,paloma lopezgarcia,Paloma Lopez-Garcia
Compnet Task force,Compnet Task force,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,compnet task force,Compnet Task Force
Mahdi Ghodsi,Mahdi Ghodsi,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,mahdi ghodsi ghodsi,Mahdi Ghodsi Ghodsi
Karina Doorley,Karina Doorley,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,karina doorley,Karina Doorley
Philippe Van kerm,Philippe Van kerm,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",1,1,philippe van kerm,Philippe Van Kerm
Jakub Growiec,Jakub Growiec,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,jakub growiec,Jakub Growiec
Michal Ledochowski,Michal Ledochowski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,michal ledochowski,Michal Ledochowski
Jakub Muck,Jakub Muck,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,jakub muck,Jakub Muck
Janusz Nesterak,Janusz Nesterak,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,janusz nesterak,Janusz Nesterak
Artur Predki,Artur Predki,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,artur predki,Artur Predki
Janusz Morajda,Janusz Morajda,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,janusz morajda,Janusz Morajda
Lukasz Kwiatkowski,Lukasz Kwiatkowski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,lukasz kwiatkowski,Lukasz Kwiatkowski
Mateusz Marcol,Mateusz Marcol,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",1,1,mateusz marcol,Mateusz Marcol
Rafal Wozniak,Rafal Wozniak,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",1,1,rafal wozniak,Rafal Wozniak
Bernard Ziebicki,Bernard Ziebicki,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,bernard ziebicki,Bernard Ziebicki
Tomasz Kleszcz,Tomasz Kleszcz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,tomasz kleszcz,Tomasz Kleszcz
Mariusz Kapuscinski,Mariusz Kapuscinski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,mariusz kapuscinski,Mariusz Kapuscinski
Beatrice Scheubel,Beatrice Scheubel,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,beatrice scheubel,Beatrice Scheubel
Peter Huber,Peter Huber,Noise,,1,1,peter huber,Peter Huber
Mehmet Teoman & tandogan,Mehmet Teoman & tandogan,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,mehmet teoman  tandogan,Mehmet Teoman & Tandogan
Sylwia Morawska,Sylwia Morawska,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,sylwia morawska,Sylwia Morawska
Yohanes E riyanto,Yohanes E riyanto,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,yohanes e riyanto,Yohanes E Riyanto
Michalek Jj,Michalek Jj,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,michalek jj,Michalek Jj
Cieslik Andrzej,Cieslik Andrzej,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,andrzej cieslik,Andrzej Cieslik
Maja Micevska,Maja Micevska,Noise,,1,1,maja micevska,Maja Micevska
Mahdi Ghodsi ghodsi,Mahdi Ghodsi ghodsi,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,mahdi ghodsi,Mahdi Ghodsi
Filip Wuyts,Filip Wuyts,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,filip wuyts,Filip Wuyts
Mark Vancauteren,Mark Vancauteren,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,mark vancauteren,Mark Vancauteren
Alfred Tovias,Alfred Tovias,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,alfred tovias,Alfred Tovias
Jacek Rothert,Jacek Rothert,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,jacek rothert,Jacek Rothert
Victoria Roshal,Victoria Roshal,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,victoria roshal,Victoria Roshal
Anna Micha3ek,Anna Micha3ek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,anna micha3ek,Anna Micha3Ek
Jan Micha3ek,Jan Micha3ek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,jan micha3ek,Jan Micha3Ek
Andrzej Cieoelik,Andrzej Cieoelik,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,andrzej cieoelik,Andrzej Cieoelik
Agnieszka Pugacewicz,Agnieszka Pugacewicz,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,agnieszka pugacewicz,Agnieszka Pugacewicz
Kenia Barreiro de souza,Kenia Barreiro de souza,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,kenia barreiro de souza,Kenia Barreiro De Souza
Krzysztof Bartosik,Krzysztof Bartosik,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,krzysztof bartosik,Krzysztof Bartosik
Medica Minerva edizioni,Medica Minerva edizioni,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,medica minerva edizioni,Medica Minerva Edizioni
Mieczyslaw W socha,Mieczyslaw W socha,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,mieczyslaw w socha,Mieczyslaw W Socha
Kamil Matuszelanski,Kamil Matuszelanski,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,kamil matuszelanski,Kamil Matuszelanski
Jablecki Juliusz,Jablecki Juliusz,Noise,,1,1,juliusz jablecki,Juliusz Jablecki
Mateusz Machaj,Mateusz Machaj,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,mateusz machaj,Mateusz Machaj
Leszek Wincenciak,Leszek Wincenciak,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,leszek wincenciak,Leszek Wincenciak
Gabriela Grotkowska,Gabriela Grotkowska,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,gabriela grotkowska,Gabriela Grotkowska
Michal Kurcewicz,Michal Kurcewicz,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,michal kurcewicz,Michal Kurcewicz
Pawel Turczyn,Pawel Turczyn,Noise,,1,1,pawel turczyn,Pawel Turczyn
Jan Marcus,Jan Marcus,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",1,1,jan marcus,Jan Marcus
Christina-anastasia Rapidi,Christina-anastasia Rapidi,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,christinaanastasia rapidi,Christina-Anastasia Rapidi
Maria Cristina pagliacci,Maria Cristina pagliacci,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,maria cristina pagliacci,Maria Cristina Pagliacci
Conran Joseph,Conran Joseph,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,conran joseph,Conran Joseph
Francesca Borgonovi,Francesca Borgonovi,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,francesca borgonovi,Francesca Borgonovi
Mycielski Jerzy,Mycielski Jerzy,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,jerzy mycielski,Jerzy Mycielski
Krzysztof Ostaszewski,Krzysztof Ostaszewski,Noise,,1,1,krzysztof ostaszewski,Krzysztof Ostaszewski
Malgorzata Godlewska,Malgorzata Godlewska,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,malgorzata godlewska,Malgorzata Godlewska
Piotr Cwiakowski,Piotr Cwiakowski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,piotr cwiakowski,Piotr Cwiakowski
Przemyslaw Banasik,Przemyslaw Banasik,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,przemyslaw banasik,Przemyslaw Banasik
Dominika Milczarek,Dominika Milczarek,Noise,,1,1,dominika milczarek,Dominika Milczarek
Jaroslaw Beldowski,Jaroslaw Beldowski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,jaroslaw beldowski,Jaroslaw Beldowski
Krzysztof & grabowski,Krzysztof & grabowski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,krzysztof  grabowski,Krzysztof & Grabowski
Iwona Kukulak-dolata,Iwona Kukulak-dolata,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,iwona kukulakdolata,Iwona Kukulak-Dolata
Roberto Patuelli,Roberto Patuelli,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,roberto patuelli,Roberto Patuelli
Danny Czamanski,Danny Czamanski,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,danny czamanski,Danny Czamanski
Laurie A schintler,Laurie A schintler,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,laurie a schintler,Laurie A Schintler
Aura Reggiani,Aura Reggiani,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,aura reggiani,Aura Reggiani
Anna Lewandowska,Anna Lewandowska,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,anna lewandowska,Anna Lewandowska
Krzysztof Chrostek,Krzysztof Chrostek,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,krzysztof chrostek,Krzysztof Chrostek
Dagmara Kociuba,Dagmara Kociuba,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,dagmara kociuba,Dagmara Kociuba
Oliver Fritz,Oliver Fritz,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,oliver fritz,Oliver Fritz
Wojciech & pamukcu,Wojciech & pamukcu,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,wojciech  pamukcu,Wojciech & Pamukcu
Krzysztof Cieslik,Krzysztof Cieslik,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,krzysztof cieslik,Krzysztof Cieslik
Mark Horridge,Mark Horridge,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,mark horridge,Mark Horridge
Harry A patrinos,Harry A patrinos,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,harry a patrinos,Harry A Patrinos
Eduardo A haddad,Eduardo A haddad,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,eduardo a haddad,Eduardo A Haddad
Krzysztof Marczewski,Krzysztof Marczewski,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,krzysztof marczewski,Krzysztof Marczewski
Wilhelm Kohler,Wilhelm Kohler,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,wilhelm kohler,Wilhelm Kohler
Lukasz Arendt,Lukasz Arendt,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,lukasz arendt,Lukasz Arendt
Sinan Tandogan,Sinan Tandogan,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,sinan tandogan,Sinan Tandogan
Teoman Pamukcu,Teoman Pamukcu,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,teoman pamukcu,Teoman Pamukcu
Agnieszka Hryniewicka,Agnieszka Hryniewicka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,agnieszka hryniewicka,Agnieszka Hryniewicka
Jan Jakub and szczygielski,Jan Jakub and szczygielski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,jan jakub and szczygielski,Jan Jakub And Szczygielski
Michalek And andrzej,Michalek And andrzej,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,michalek and andrzej,Michalek And Andrzej
Iga Magda,Iga Magda,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,iga magda,Iga Magda
Maca V,Maca V,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,maca v,Maca V
Michal Lesyk,Michal Lesyk,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,michal lesyk,Michal Lesyk
Kacper Ostrowski,Kacper Ostrowski,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,kacper ostrowski,Kacper Ostrowski
Agata Miazga,Agata Miazga,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,agata miazga,Agata Miazga
Mateusz Najsztub,Mateusz Najsztub,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,mateusz najsztub,Mateusz Najsztub
Tadeusz Jedrzejczyk,Tadeusz Jedrzejczyk,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,tadeusz jedrzejczyk,Tadeusz Jedrzejczyk
Wojciech Paczynski,Wojciech Paczynski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,wojciech paczynski,Wojciech Paczynski
Marta Palczynska,Marta Palczynska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,marta palczynska,Marta Palczynska
Maja Rynko,Maja Rynko,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,maja rynko,Maja Rynko
