Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,NormId,Author,Community
Kula Gj,Kula Gj,Noise,,1,1,Kula Gj,Kula Gj,26
Magdalena Rokicka,Magdalena Rokicka,Noise,,1,1,Magdalena Rokicka,Magdalena Rokicka,26
Oleksandr Rohozynsky,Oleksandr Rohozynsky,Noise,,1,1,Oleksandr Rohozynsky,Oleksandr Rohozynsky,26
Anna Ruzik,Anna Ruzik,Noise,,1,1,Anna Ruzik,Anna Ruzik,26
Anna Ruzik-sierdzinska,Anna Ruzik-sierdzinska,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,Anna Ruzik-sierdzinska,Anna Ruzik-sierdzinska,5
Aleksandra Wasowicz,Aleksandra Wasowicz,Noise,,1,1,Aleksandra Wasowicz,Aleksandra Wasowicz,5
Piotr Wojcik,Piotr Wojcik,Noise,,4,2,Piotr Wojcik,Piotr Wojcik,8
Piotr Tadeusz wojcik,Piotr Tadeusz wojcik,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Piotr Tadeusz wojcik,Piotr Tadeusz wojcik,5
Marcin Kolasa,Marcin Kolasa,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",11,8,Marcin Kolasa,Marcin Kolasa,3
Grzegorz Wesolowski,Grzegorz Wesolowski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",20,15,Grzegorz Wesolowski,Grzegorz Wesolowski,15
Michal Brzoza-brzezina,Michal Brzoza-brzezina,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",10,7,Michal Brzoza-brzezina,Michal Brzoza-brzezina,3
Krzysztof Makarski,Krzysztof Makarski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",10,8,Krzysztof Makarski,Krzysztof Makarski,3
Magda Cizkowicz-pekala,Magda Cizkowicz-pekala,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",3,3,Magda Cizkowicz-pekala,Magda Cizkowicz-pekala,15
Witold Grostal,Witold Grostal,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",4,4,Witold Grostal,Witold Grostal,15
Joanna Niedzwiedzinska,Joanna Niedzwiedzinska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",3,3,Joanna Niedzwiedzinska,Joanna Niedzwiedzinska,15
Elzbieta Skrzeszewska-paczek,Elzbieta Skrzeszewska-paczek,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",4,4,Elzbieta Skrzeszewska-paczek,Elzbieta Skrzeszewska-paczek,15
Ewa Stawasz-grabowska,Ewa Stawasz-grabowska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Ewa Stawasz-grabowska,Ewa Stawasz-grabowska,15
Piotr Zuk,Piotr Zuk,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",5,4,Piotr Zuk,Piotr Zuk,15
Magda Cizkowicz,Magda Cizkowicz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Magda Cizkowicz,Magda Cizkowicz,15
Malgorzata Walerych,Malgorzata Walerych,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,Malgorzata Walerych,Malgorzata Walerych,15
Juliusz Jablecki,Juliusz Jablecki,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",20,8,Juliusz Jablecki,Juliusz Jablecki,8
Andrzej Raczko,Andrzej Raczko,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,2,Andrzej Raczko,Andrzej Raczko,15
Patrycja Beniak,Patrycja Beniak,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,2,Patrycja Beniak,Patrycja Beniak,15
Roland Beck,Roland Beck,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Roland Beck,Roland Beck,15
Beatrice Scheubel,Beatrice Scheubel,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Beatrice Scheubel,Beatrice Scheubel,15
Axel Bruggemann,Axel Bruggemann,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Axel Bruggemann,Axel Bruggemann,15
Isabella Moder,Isabella Moder,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Isabella Moder,Isabella Moder,15
Alberto Fuentes,Alberto Fuentes,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Alberto Fuentes,Alberto Fuentes,15
Joel Graca alves,Joel Graca alves,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Joel Graca alves,Joel Graca alves,15
Lilian Kreitz,Lilian Kreitz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Lilian Kreitz,Lilian Kreitz,15
Luis Molina sanchez,Luis Molina sanchez,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Luis Molina sanchez,Luis Molina sanchez,15
Floriane Van den,Floriane Van den,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Floriane Van den,Floriane Van den,15
Carlijn Eijking,Carlijn Eijking,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Carlijn Eijking,Carlijn Eijking,15
Markus Eller,Markus Eller,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Markus Eller,Markus Eller,15
Clement Marsilli,Clement Marsilli,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Clement Marsilli,Clement Marsilli,15
Alain Naef,Alain Naef,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Alain Naef,Alain Naef,15
Valerio Nispi landi,Valerio Nispi landi,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Valerio Nispi landi,Valerio Nispi landi,15
Anastasia Theofilakou,Anastasia Theofilakou,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Anastasia Theofilakou,Anastasia Theofilakou,15
Juan Carlos berganza,Juan Carlos berganza,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Juan Carlos berganza,Juan Carlos berganza,15
Rafael Cezar,Rafael Cezar,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Rafael Cezar,Rafael Cezar,15
Jacek Kotlowski,Jacek Kotlowski,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,1,Jacek Kotlowski,Jacek Kotlowski,15
Michal Greszta,Michal Greszta,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Michal Greszta,Michal Greszta,15
Marcin Humanicki,Marcin Humanicki,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Marcin Humanicki,Marcin Humanicki,15
Mariusz Kapuscinski,Mariusz Kapuscinski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Mariusz Kapuscinski,Mariusz Kapuscinski,15
Tomasz Kleszcz,Tomasz Kleszcz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Tomasz Kleszcz,Tomasz Kleszcz,15
Andrzej Kociecki,Andrzej Kociecki,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,2,Andrzej Kociecki,Andrzej Kociecki,15
Michal Ledochowski,Michal Ledochowski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Michal Ledochowski,Michal Ledochowski,15
Michal Lesyk,Michal Lesyk,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Michal Lesyk,Michal Lesyk,15
Tomasz Lyziak,Tomasz Lyziak,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Tomasz Lyziak,Tomasz Lyziak,15
Mateusz Pipien,Mateusz Pipien,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Mateusz Pipien,Mateusz Pipien,15
Piotr Popowski,Piotr Popowski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,1,Piotr Popowski,Piotr Popowski,10
Ewa Stanislawska,Ewa Stanislawska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Ewa Stanislawska,Ewa Stanislawska,15
Karol Szafranek,Karol Szafranek,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Karol Szafranek,Karol Szafranek,15
Grzegorz Szafranski,Grzegorz Szafranski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,2,Grzegorz Szafranski,Grzegorz Szafranski,15
Dorota Scibisz,Dorota Scibisz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Dorota Scibisz,Dorota Scibisz,15
Ewa Wrobel,Ewa Wrobel,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Ewa Wrobel,Ewa Wrobel,15
Oliver De groot,Oliver De groot,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,Oliver De groot,Oliver De groot,15
Jacek Lewkowicz,Jacek Lewkowicz,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",22,8,Jacek Lewkowicz,Jacek Lewkowicz,10
Michal Wozniak,Michal Wozniak,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,1,Michal Wozniak,Michal Wozniak,16
Michal Wrzesinski,Michal Wrzesinski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,Michal Wrzesinski,Michal Wrzesinski,16
Jerg Gutmann,Jerg Gutmann,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",3,3,Jerg Gutmann,Jerg Gutmann,10
Anna Lewczuk,Anna Lewczuk,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",6,4,Anna Lewczuk,Anna Lewczuk,10
Stefan Voigt,Stefan Voigt,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",3,3,Stefan Voigt,Stefan Voigt,10
Katarzyna Metelska-szaniawska,Katarzyna Metelska-szaniawska,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",17,8,Katarzyna Metelska-szaniawska,Katarzyna Metelska-szaniawska,10
Jan Falkowski,Jan Falkowski,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",6,4,Jan Falkowski,Jan Falkowski,10
Krzysztof Szczygielski,Krzysztof Szczygielski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",18,12,Krzysztof Szczygielski,Krzysztof Szczygielski,3
Tomasz Kopczewski,Tomasz Kopczewski,Noise,,17,7,Tomasz Kopczewski,Tomasz Kopczewski,1
Rafal Wozniak,Rafal Wozniak,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",1,1,Rafal Wozniak,Rafal Wozniak,10
Mateusz Marcol,Mateusz Marcol,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",1,1,Mateusz Marcol,Mateusz Marcol,10
Jakub Michankow,Jakub Michankow,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",11,9,Jakub Michankow,Jakub Michankow,8
Pawel Sakowski,Pawel Sakowski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",32,26,Pawel Sakowski,Pawel Sakowski,8
Robert Slepaczuk,Robert Slepaczuk,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",37,35,Robert Slepaczuk,Robert Slepaczuk,8
Lukasz Kwiatkowski,Lukasz Kwiatkowski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,Lukasz Kwiatkowski,Lukasz Kwiatkowski,8
Janusz Morajda,Janusz Morajda,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,Janusz Morajda,Janusz Morajda,8
Janusz Nesterak,Janusz Nesterak,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,Janusz Nesterak,Janusz Nesterak,33
Bernard Ziebicki,Bernard Ziebicki,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,Bernard Ziebicki,Bernard Ziebicki,33
Jakub Muck,Jakub Muck,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,Jakub Muck,Jakub Muck,10
Michal Gradzewicz,Michal Gradzewicz,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,Michal Gradzewicz,Michal Gradzewicz,10
Jakub Growiec,Jakub Growiec,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,Jakub Growiec,Jakub Growiec,10
Marcin Bielecki,Marcin Bielecki,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",22,9,Marcin Bielecki,Marcin Bielecki,3
Karolina Goraus,Karolina Goraus,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",5,5,Karolina Goraus,Karolina Goraus,3
Joanna Tyrowicz,Joanna Tyrowicz,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",16,11,Joanna Tyrowicz,Joanna Tyrowicz,3
Mahdi Ghodsi,Mahdi Ghodsi,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Mahdi Ghodsi,Mahdi Ghodsi,10
Paloma Lopez-garcia,Paloma Lopez-garcia,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Paloma Lopez-garcia,Paloma Lopez-garcia,42
Filippo Di mauro,Filippo Di mauro,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Filippo Di mauro,Filippo Di mauro,42
Michal Brzozowski,Michal Brzozowski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",18,5,Michal Brzozowski,Michal Brzozowski,9
Michalek J,Michalek J,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",2,2,Michalek J,Michalek J,3
Jarko Fidrmuc,Jarko Fidrmuc,Noise,,1,1,Jarko Fidrmuc,Jarko Fidrmuc,3
Peter Huber,Peter Huber,Noise,,1,1,Peter Huber,Peter Huber,3
Andrzej Cieoelik,Andrzej Cieoelik,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Andrzej Cieoelik,Andrzej Cieoelik,22
Jan Micha3ek,Jan Micha3ek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Jan Micha3ek,Jan Micha3ek,22
Anna Micha3ek,Anna Micha3ek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Anna Micha3ek,Anna Micha3ek,22
Victoria Roshal,Victoria Roshal,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Victoria Roshal,Victoria Roshal,3
Jacek Rothert,Jacek Rothert,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Jacek Rothert,Jacek Rothert,3
Alfred Tovias,Alfred Tovias,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Alfred Tovias,Alfred Tovias,3
Agnieszka Pugacewicz,Agnieszka Pugacewicz,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Agnieszka Pugacewicz,Agnieszka Pugacewicz,3
Mark Vancauteren,Mark Vancauteren,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Mark Vancauteren,Mark Vancauteren,3
Mahdi Ghodsi ghodsi,Mahdi Ghodsi ghodsi,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Mahdi Ghodsi ghodsi,Mahdi Ghodsi ghodsi,3
Oded Stark,Oded Stark,Noise,,4,2,Oded Stark,Oded Stark,3
Maja Micevska,Maja Micevska,Noise,,1,1,Maja Micevska,Maja Micevska,3
Cieslik Andrzej,Cieslik Andrzej,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Cieslik Andrzej,Cieslik Andrzej,40
Michalek Jj,Michalek Jj,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Michalek Jj,Michalek Jj,40
Mycielski Jerzy,Mycielski Jerzy,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Mycielski Jerzy,Mycielski Jerzy,40
Yohanes E riyanto,Yohanes E riyanto,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Yohanes E riyanto,Yohanes E riyanto,3
Filip Wuyts,Filip Wuyts,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Filip Wuyts,Filip Wuyts,3
Krzysztof Bartosik,Krzysztof Bartosik,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Krzysztof Bartosik,Krzysztof Bartosik,3
Michal Kurcewicz,Michal Kurcewicz,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,Michal Kurcewicz,Michal Kurcewicz,3
Piotr Tederko,Piotr Tederko,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Piotr Tederko,Piotr Tederko,3
James Middleton,James Middleton,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,James Middleton,James Middleton,3
Conran Joseph,Conran Joseph,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Conran Joseph,Conran Joseph,3
Maria Cristina pagliacci,Maria Cristina pagliacci,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Maria Cristina pagliacci,Maria Cristina pagliacci,3
Christina-anastasia Rapidi,Christina-anastasia Rapidi,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Christina-anastasia Rapidi,Christina-anastasia Rapidi,3
Beata Tarnacka,Beata Tarnacka,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,Beata Tarnacka,Beata Tarnacka,3
Jolanta Kujawa,Jolanta Kujawa,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Jolanta Kujawa,Jolanta Kujawa,3
Pawel Turczyn,Pawel Turczyn,Noise,,1,1,Pawel Turczyn,Pawel Turczyn,3
Tomasz Gajderowicz,Tomasz Gajderowicz,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",3,2,Tomasz Gajderowicz,Tomasz Gajderowicz,8
Gabriela Grotkowska,Gabriela Grotkowska,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Gabriela Grotkowska,Gabriela Grotkowska,3
Leszek Wincenciak,Leszek Wincenciak,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Leszek Wincenciak,Leszek Wincenciak,8
Ulrich Bindseil,Ulrich Bindseil,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",3,3,Ulrich Bindseil,Ulrich Bindseil,8
Mateusz Machaj,Mateusz Machaj,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,Mateusz Machaj,Mateusz Machaj,8
Dariusz Gatarek,Dariusz Gatarek,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",4,2,Dariusz Gatarek,Dariusz Gatarek,8
Ryszard Kokoszczynski,Ryszard Kokoszczynski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",8,6,Ryszard Kokoszczynski,Ryszard Kokoszczynski,8
Kamil Matuszelanski,Kamil Matuszelanski,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,Kamil Matuszelanski,Kamil Matuszelanski,1
Pawel Churski,Pawel Churski,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",4,3,Pawel Churski,Pawel Churski,1
Artur Ochojski,Artur Ochojski,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",4,3,Artur Ochojski,Artur Ochojski,1
Adam Polko,Adam Polko,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",4,3,Adam Polko,Adam Polko,1
Piotr Cwiakowski,Piotr Cwiakowski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,Piotr Cwiakowski,Piotr Cwiakowski,1
Maria Kubara,Maria Kubara,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",6,3,Maria Kubara,Maria Kubara,1
Krzysztof Chrostek,Krzysztof Chrostek,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,Krzysztof Chrostek,Krzysztof Chrostek,1
Anna Lewandowska,Anna Lewandowska,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,Anna Lewandowska,Anna Lewandowska,1
Aura Reggiani,Aura Reggiani,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,Aura Reggiani,Aura Reggiani,29
Laurie A schintler,Laurie A schintler,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,Laurie A schintler,Laurie A schintler,29
Danny Czamanski,Danny Czamanski,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,Danny Czamanski,Danny Czamanski,29
Roberto Patuelli,Roberto Patuelli,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,Roberto Patuelli,Roberto Patuelli,29
Dagmara Kociuba,Dagmara Kociuba,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Dagmara Kociuba,Dagmara Kociuba,1
Muhammad Usman,Muhammad Usman,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",4,1,Muhammad Usman,Muhammad Usman,0
Jaroslaw Beldowski,Jaroslaw Beldowski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,Jaroslaw Beldowski,Jaroslaw Beldowski,10
Dominika Milczarek,Dominika Milczarek,Noise,,1,1,Dominika Milczarek,Dominika Milczarek,10
Przemyslaw Banasik,Przemyslaw Banasik,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Przemyslaw Banasik,Przemyslaw Banasik,10
Malgorzata Godlewska,Malgorzata Godlewska,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Malgorzata Godlewska,Malgorzata Godlewska,10
Sylwia Morawska,Sylwia Morawska,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Sylwia Morawska,Sylwia Morawska,10
Vedat Sinan szczygielski,Vedat Sinan szczygielski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Vedat Sinan szczygielski,Vedat Sinan szczygielski,50
Krzysztof & grabowski,Krzysztof & grabowski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Krzysztof & grabowski,Krzysztof & grabowski,50
Wojciech & pamukcu,Wojciech & pamukcu,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Wojciech & pamukcu,Wojciech & pamukcu,50
Mehmet Teoman & tandogan,Mehmet Teoman & tandogan,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Mehmet Teoman & tandogan,Mehmet Teoman & tandogan,50
Krzysztof Cieslik,Krzysztof Cieslik,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Krzysztof Cieslik,Krzysztof Cieslik,47
Michalek And andrzej,Michalek And andrzej,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Michalek And andrzej,Michalek And andrzej,47
Jan Jakub and szczygielski,Jan Jakub and szczygielski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Jan Jakub and szczygielski,Jan Jakub and szczygielski,47
And Richard woodward krzysztof szczygielski,And Richard woodward krzysztof szczygielski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,And Richard woodward krzysztof szczygielski,And Richard woodward krzysztof szczygielski,3
Wojciech Grabowski,Wojciech Grabowski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",5,4,Wojciech Grabowski,Wojciech Grabowski,3
Teoman Pamukcu,Teoman Pamukcu,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Teoman Pamukcu,Teoman Pamukcu,3
Sinan Tandogan,Sinan Tandogan,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Sinan Tandogan,Sinan Tandogan,3
Iga Magda,Iga Magda,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Iga Magda,Iga Magda,27
Szczygielski K,Szczygielski K,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Szczygielski K,Szczygielski K,27
Marcin Jakubek,Marcin Jakubek,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,Marcin Jakubek,Marcin Jakubek,3
Ewa Zawojska,Ewa Zawojska,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",3,2,Ewa Zawojska,Ewa Zawojska,18
Wilhelm Kohler,Wilhelm Kohler,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,Wilhelm Kohler,Wilhelm Kohler,3
Krzysztof Marczewski,Krzysztof Marczewski,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Krzysztof Marczewski,Krzysztof Marczewski,3
Maciej Jakubowski,Maciej Jakubowski,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",18,11,Maciej Jakubowski,Maciej Jakubowski,8
Harry A patrinos,Harry A patrinos,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,Harry A patrinos,Harry A patrinos,8
