Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount
Micha Greszta,Michał Greszta,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Marcin Humanicki,Marcin Humanicki,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Mariusz Kapuscinski,Mariusz Kapuściński,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Tomasz Kleszcz,Tomasz Kleszcz,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Andrzej Kociecki,Andrzej Kocięcki,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",2,2
Micha Ledochowski,Michał Ledóchowski,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Mateusz Pipien,Mateusz Pipień,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Piotr Popowski,Piotr Popowski,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",2,1
Ewa Stanisawska,Ewa Stanisławska,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Karol Szafranek,Karol Szafranek,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Grzegorz Szafranski,Grzegorz Szafrański,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",2,2
Dorota Scibisz,Dorota Ścibisz,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Ewa Wrobel,Ewa Wróbel,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Oliver De groot,Oliver De Groot,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Jacek Lewkowicz,Jacek Lewkowicz,Cluster 5,"constitutional, political, rule, society, country, gap, country period, panel, economic, period",22,8
Micha Wozniak,Michał Woźniak,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",2,1
Micha Wrzesinski,Michał Wrzesiński,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Jerg Gutmann,Jerg Gutmann,Cluster 5,"constitutional, political, rule, society, country, gap, country period, panel, economic, period",3,3
Anna Lewczuk,Anna Lewczuk,Cluster 5,"constitutional, political, rule, society, country, gap, country period, panel, economic, period",6,4
Stefan Voigt,Stefan Voigt,Cluster 5,"constitutional, political, rule, society, country, gap, country period, panel, economic, period",3,3
Katarzyna Metelska-szaniawska,Katarzyna Metelska-Szaniawska,Cluster 5,"constitutional, political, rule, society, country, gap, country period, panel, economic, period",16,7
Jan Fakowski,Jan Fałkowski,Cluster 5,"constitutional, political, rule, society, country, gap, country period, panel, economic, period",6,4
Krzysztof Szczygielski,Krzysztof Szczygielski,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",18,12
Tomasz Kopczewski,Tomasz Kopczewski,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",17,5
Rafa Wozniak,Rafał Woźniak,Cluster 5,"constitutional, political, rule, society, country, gap, country period, panel, economic, period",1,1
Mateusz Marcol,Mateusz Marcol,Cluster 5,"constitutional, political, rule, society, country, gap, country period, panel, economic, period",1,1
Jakub Michankow,Jakub Michańków,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",11,9
Pawe Sakowski,Paweł Sakowski,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",28,25
Robert Slepaczuk,Robert Ślepaczuk,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",36,36
Janusz Morajda,Janusz Morajda,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Janusz Nesterak,Janusz Nesterak,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Bernard Ziebicki,Bernard Ziębicki,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Jakub Muck,Jakub Mućk,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",1,1
Micha Gradzewicz,Michał Gradzewicz,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",2,2
Jakub Growiec,Jakub Growiec,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",1,1
Marcin Bielecki,Marcin Bielecki,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",22,9
Karolina Goraus,Karolina Goraus,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",5,5
Joanna Tyrowicz,Joanna Tyrowicz,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",16,11
Mahdi Ghodsi,Mahdi Ghodsi,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Paloma Lopez-garcia,Paloma Lopez-Garcia,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Filippo Di mauro,Filippo Di Mauro,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Micha Brzozowski,Michał Brzozowski,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",15,4
Michaek J,J Michałek,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",2,2
Jarko Fidrmuc,Jarko Fidrmuc,Noise,,1,1
Peter Huber,Peter Huber,Noise,,1,1
Jan Jakub michalek,Jan Jakub Michalek,Noise,,2,1
Jan Micha3ek,Jan Micha³ek,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Anna Micha3ek,Anna Micha³ek,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Jan Michalek,Jan Michalek,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",2,2
Victoria Roshal,Victoria Roshal,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Jacek Rothert,Jacek Rothert,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Alfred Tovias,Alfred Tovias,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Agnieszka Pugacewicz,Agnieszka Pugacewicz,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Mark Vancauteren,Mark Vancauteren,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Mahdi Ghodsi ghodsi,Mahdi Ghodsi Ghodsi,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Oded Stark,Oded Stark,Noise,,4,2
Maja Micevska,Maja Micevska,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Cieslik Andrzej,ANDRZEJ Cieślik,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Michaek Jj,JJ Michałek,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Mycielski Jerzy,JERZY Mycielski,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Yohanes E riyanto,Yohanes E Riyanto,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Filip Wuyts,Filip Wuyts,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Krzysztof Bartosik,Krzysztof Bartosik,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Michal Kurcewicz,Michal Kurcewicz,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Piotr Tederko,Piotr Tederko,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
James Middleton,James Middleton,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Conran Joseph,Conran Joseph,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Maria Cristina pagliacci,Maria Cristina Pagliacci,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Christina-anastasia Rapidi,Christina-Anastasia Rapidi,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Beata Tarnacka,Beata Tarnacka,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",2,1
Jolanta Kujawa,Jolanta Kujawa,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Pawe Turczyn,Paweł Turczyn,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Tomasz Gajderowicz,Tomasz Gajderowicz,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",3,2
Gabriela Grotkowska,Gabriela Grotkowska,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Leszek Wincenciak,Leszek Wincenciak,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Ulrich Bindseil,Ulrich Bindseil,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",3,3
Mateusz Machaj,Mateusz Machaj,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Dariusz Gatarek,Dariusz Gatarek,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",4,4
Ryszard Kokoszczynski,Ryszard Kokoszczyński,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",6,5
Kamil Matuszelanski,Kamil Matuszelański,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",1,1
Pawe Churski,Paweł Churski,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",4,3
Artur Ochojski,Artur Ochojski,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",4,3
Adam Polko,Adam Polko,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",4,3
Piotr Cwiakowski,Piotr Ćwiakowski,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Maria Kubara,Maria Kubara,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",6,3
Krzysztof Chrostek,Krzysztof Chrostek,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",1,1
Anna Lewandowska,Anna Lewandowska,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",1,1
Aura Reggiani,Aura Reggiani,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",1,1
Laurie A schintler,Laurie A Schintler,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",1,1
Danny Czamanski,Danny Czamanski,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",1,1
Roberto Patuelli,Roberto Patuelli,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",1,1
Dagmara Kociuba,Dagmara Kociuba,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Muhammad Usman,Muhammad Usman,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",4,1
Jarosaw Bedowski,Jarosław Bełdowski,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Dominika Milczarek,Dominika Milczarek,Noise,,1,1
Przemysaw Banasik,Przemysław Banasik,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Magorzata Godlewska,Małgorzata Godlewska,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Sylwia Morawska,Sylwia Morawska,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Vedat Sinan szczygielski,Vedat Sinan Szczygielski,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Krzysztof & grabowski,Krzysztof & Grabowski,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Wojciech & pamukcu,Wojciech & Pamukcu,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Mehmet Teoman & tandogan,Mehmet Teoman & Tandogan,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Krzysztof Cieslik,Krzysztof Cieslik,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Michalek And andrzej,Andrzej and Michalek,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Jan Jakub and szczygielski,Jan Jakub and Szczygielski,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
And Richard woodward krzysztof szczygielski,and Richard Woodward Krzysztof Szczygielski,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Wojciech Grabowski,Wojciech Grabowski,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",5,4
Teoman Pamukcu,Teoman Pamukcu,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Sinan Tandogan,Sinan Tandogan,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Iga Magda,Iga Magda,Noise,,1,1
Szczygielski K,K Szczygielski,Noise,,1,1
Marcin Jakubek,Marcin Jakubek,Noise,,2,2
Ewa Zawojska,Ewa Zawojska,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",3,2
Wilhelm Kohler,Wilhelm Kohler,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Krzysztof Marczewski,Krzysztof Marczewski,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Maciej Jakubowski,Maciej Jakubowski,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",18,11
Harry A patrinos,Harry A Patrinos,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",1,1
Emilio Ernesto porta,Emilio Ernesto Porta,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",2,2
Jerzy Wisniewski,Jerzy Wisniewski,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",1,1
Artur Pokropek,Artur Pokropek,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",3,1
Francesca Borgonovi,Francesca Borgonovi,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Harry Anthony patrinos,Harry Anthony Patrinos,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",2,2
Ireneusz Biaecki,Ireneusz Białecki,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",1,1
Pawel Sakowski,Pawel Sakowski,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",4,4
Ralph Hippe,Ralph Hippe,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",2,1
Luisa Araujo,Luísa Araújo,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Harry Patrinos,Harry Patrinos,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",1,1
Pawe Strawinski,Paweł Strawiński,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",3,2
Claus Brand,Claus Brand,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Adrian Penalver,Adrian Penalver,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Nikolai Stahler,Nikolai Stähler,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Marcin Waniek,Marcin Waniek,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",2,2
Aneta Bazejowska,Aneta Błażejowska,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Kamila Kuziemska-pawlak,Kamila Kuziemska-Pawlak,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Maciej Osiewicz,Maciej Osiewicz,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Sawomir Cieslak,Sławomir Cieślak,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Ewa Chlebus,Ewa Chlebus,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",2,1
Marcin Chlebus,Marcin Chlebus,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",19,9
Magdalena Walicka,Magdalena Walicka,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",4,2
Melania Brzozowska,Melania Brzozowska,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",4,2
Andrzej Sliwczynski,Andrzej Śliwczyński,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",4,2
Tadeusz Jedrzejczyk,Tadeusz Jędrzejczyk,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Lidia Kania,Lidia Kania,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",2,2
Monika Puzianowska-kuznicka,Monika Puzianowska-Kuźnicka,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",3,1
Edward Franek,Edward Franek,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",4,2
Przemysaw Biecek,Przemysław Biecek,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Janusz Gajda,Janusz Gajda,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",2,2
Alicja Gosiewska,Alicja Gosiewska,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Anna Kozak,Anna Kozak,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Dominik Ogonowski,Dominik Ogonowski,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Jakub Sztachelski,Jakub Sztachelski,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Piotr Wojewnik,Piotr Wojewnik,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Filip Szubzda,Filip Szubzda,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Marta Kosok,Marta Kłosok,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Filip A dabrowski,Filip A Dabrowski,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",3,2
Anna Burdzinska,Anna Burdzinska,Noise,,1,1
Agnieszka Kulesza,Agnieszka Kulesza,Noise,,1,1
Beata Kaleta,Beata Kaleta,Noise,,1,1
Jan Borysowski,Jan Borysowski,Noise,,1,1
Aleksandra Zolocinska,Aleksandra Zolocinska,Noise,,1,1
Leszek Paczek,Leszek Paczek,Noise,,1,1
Miroslaw Wielgos,Miroslaw Wielgos,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",3,2
Agnieszka Tuszynska,Agnieszka Tuszyńska,Noise,,2,1
Yaroslav Sanchak,Yaroslav Sanchak,Noise,,1,1
Daniel Rutkowski,Daniel Rutkowski,Noise,,3,1
Piotr Borowski,Piotr Borowski,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Marcin Czech,Marcin Czech,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",2,1
Andrzej Jacyna,Andrzej Jacyna,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",2,1
Monika Serafin,Monika Serafin,Noise,,1,1
Barbara Grzechocinska,Barbara Grzechocinska,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",2,2
Agata Gondek,Agata Gondek,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",1,1
Katarzyna Czarzasta,Katarzyna Czarzasta,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",1,1
Lukasz Michalowski,Lukasz Michalowski,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",2,2
Agnieszka Cudnoch-jedrzejewska,Agnieszka Cudnoch-Jedrzejewska,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",1,1
Micha Dyczko,Michał Dyczko,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Grzegorz Wieczorek,Grzegorz Wieczorek,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Katarzyna Chyrowicz,Katarzyna Chyrowicz,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Kamila Kontna,Kamila Kontna,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Micha Korycki,Michał Korycki,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Albina Jegorowa,Albina Jegorowa,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Micha Kruk,Michał Kruk,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Illya Barziy,Illya Barziy,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Anna Cyganek,Anna Cyganek,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",1,1
Christopher Kobierzycki,Christopher Kobierzycki,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",1,1
Barbara Gornicka,Barbara Gornicka,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",1,1
Stefan Cylwik,Stefan Cylwik,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Renata Gabryelczyk,Renata Gabryelczyk,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Mateusz Buczynski,Mateusz Buczyński,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Katarzyna Dabrowska,Katarzyna Dąbrowska,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",5,2
Marcin Gruszczynski,Marcin Gruszczyński,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",18,7
Andrzej Wieczorkiewicz,Andrzej Wieczorkiewicz,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",2,1
Maciej Stokosa,Maciej Stokłosa,Noise,,1,1
Katarzyna Dabrowska-gruszczynska,Katarzyna Dąbrowska-Gruszczyńska,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",7,6
Pawe Majczak,Paweł Majczak,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Mateusz Kopyt,Mateusz Kopyt,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Sebastien Bourdin,Sebastien Bourdin,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Sergio Destefanis,Sergio Destefanis,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Gianluigi Coppola,Gianluigi Coppola,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Mehmet Burak turgut,Mehmet Burak Turgut,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",4,2
Pintus P,P Pintus,Noise,,2,2
Jacek Suda,Jacek Suda,Noise,,3,3
Turgut B,B Turgut,Noise,,2,2
Tomasz Tratkiewicz,Tomasz Tratkiewicz,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Patrick Pintus,Patrick Pintus,Noise,,1,1
Burak Turgut,Burak Turgut,Noise,,1,1
Michal Brzozowski,Michal Brzozowski,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",3,1
Joanna Siwinska-gorzelak,Joanna Siwińska-Gorzelak,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",3,2
Grzegorz Tchorek,Grzegorz Tchorek,Noise,,3,1
Pawe Sliwinski,Paweł Śliwiński,Noise,,1,1
Katarzyna Dziewanowska,Katarzyna Dziewanowska,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Agnieszka Allen,Agnieszka Allen,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Waldemar Kozio,Waldemar Kozioł,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Micha Kurtyka,Michał Kurtyka,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Filip Targowski,Filip Targowski,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Sadananda Prusty,Sadananda Prusty,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Anna Biaek-jaworska,Anna Białek-Jaworska,Cluster 2,"growth, cycle, business, expenditure, concentration, effect, country, period, sectoral, result",1,1
Joanna Siwinskagorzelak,Joanna Siwińska‐Gorzelak,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Thorsten Bh reusch,Thorsten BH Reusch,Noise,,1,1
Jan Dierking,Jan Dierking,Noise,,1,1
Helen C andersson,Helen C Andersson,Noise,,1,1
Erik Bonsdorff,Erik Bonsdorff,Noise,,1,1
Jacob Carstensen,Jacob Carstensen,Noise,,1,1
Michele Casini,Michele Casini,Noise,,1,1
Mikolaj Czajkowski,Mikolaj Czajkowski,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",3,2
Berit Hasler,Berit Hasler,Noise,,2,1
Klaus Hinsby,Klaus Hinsby,Noise,,1,1
Kari Hyytiainen,Kari Hyytiäinen,Noise,,2,1
Kerstin Johannesson,Kerstin Johannesson,Noise,,1,1
Seifeddine Jomaa,Seifeddine Jomaa,Noise,,1,1
Veijo Jormalainen,Veijo Jormalainen,Noise,,1,1
Harri Kuosa,Harri Kuosa,Noise,,1,1
Sara Kurland,Sara Kurland,Noise,,1,1
Linda Laikre,Linda Laikre,Noise,,1,1
Brian R mackenzie,Brian R MacKenzie,Noise,,1,1
Piotr Margonski,Piotr Margonski,Noise,,1,1
Frank Melzner,Frank Melzner,Noise,,1,1
Daniel Oesterwind,Daniel Oesterwind,Noise,,1,1
Henn Ojaveer,Henn Ojaveer,Noise,,1,1
Jens Christian refsgaard,Jens Christian Refsgaard,Noise,,1,1
Annica Sandstrom,Annica Sandström,Noise,,1,1
Gerald Schwarz,Gerald Schwarz,Noise,,1,1
Karin Tonderski,Karin Tonderski,Noise,,1,1
Monika Winder,Monika Winder,Noise,,1,1
