Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,Id
Marta Lubieniecka,Marta Lubieniecka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,marta lubieniecka
Kamila Waclawska,Kamila Waclawska,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,kamila waclawska
Agata Balmas,Agata Balmas,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,agata balmas
Satia Rozynek,Satia Rozynek,Noise,,2,2,satia rozynek
Jakub Zawieska,Jakub Zawieska,Noise,,2,2,jakub zawieska
Shahriar Akhavan,Shahriar Akhavan,Noise,,2,2,shahriar akhavan
Christian J delaunay,Christian J delaunay,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,christian j delaunay
Leszek Morawski,Leszek Morawski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,leszek morawski
Roman Dolata,Roman Dolata,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",2,1,roman dolata
Torrisi Richard c,Torrisi Richard c,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,richard c torrisi
Ewa Weychert,Ewa Weychert,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,ewa weychert
Marcin Stepniak,Marcin Stepniak,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",2,2,marcin stepniak
Piotr Modzelewski,Piotr Modzelewski,Noise,,2,1,piotr modzelewski
Badi H baltagi,Badi H baltagi,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",2,2,badi h baltagi
Maurizio Remelli,Maurizio Remelli,Noise,,2,1,maurizio remelli
Gerli Paat-ahi,Gerli Paat-ahi,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,gerli paatahi
Janek Saluse,Janek Saluse,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,janek saluse
Ain Aaviksoo,Ain Aaviksoo,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,ain aaviksoo
Urszula Siedlecka,Urszula Siedlecka,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,urszula siedlecka
Maria Swiderek,Maria Swiderek,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,maria swiderek
Maciej Bitner,Maciej Bitner,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,maciej bitner
Joanna Nestorowicz,Joanna Nestorowicz,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,joanna nestorowicz
Caterina Migliorini,Caterina Migliorini,Noise,,1,1,caterina migliorini
Carlos Vargas-silva,Carlos Vargas-silva,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,carlos vargassilva
Janine Leschke,Janine Leschke,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,janine leschke
Bela Galgoczi,Bela Galgoczi,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,bela galgoczi
Aitor Lacuesta,Aitor Lacuesta,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,aitor lacuesta
Juan F jimeno,Juan F jimeno,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,juan f jimeno
Aneta Stefanczyk,Aneta Stefanczyk,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,aneta stefanczyk
Mario Izquierdo peinado,Mario Izquierdo peinado,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,mario izquierdo peinado
Mikkel Barslund,Mikkel Barslund,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,mikkel barslund
Matthias Busse,Matthias Busse,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,matthias busse
Timo Baas,Timo Baas,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,timo baas
Francesco Berti,Francesco Berti,Noise,,1,1,francesco berti
Group Eurodrg,Group Eurodrg,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,group eurodrg
Aleksandra Parteka,Aleksandra Parteka,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,aleksandra parteka
Jan Grudniewicz,Jan Grudniewicz,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,jan grudniewicz
Mateusz Kijewski,Mateusz Kijewski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,mateusz kijewski
Lucia Banci,Lucia Banci,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,lucia banci
Maryna Zenkova,Maryna Zenkova,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,maryna zenkova
Baranochnikov I.,Baranochnikov I.,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,baranochnikov i
Michal Latoszek,Michal Latoszek,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,michal latoszek
Klarita Gerxhani,Klarita Gerxhani,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,klarita gerxhani
Hanna Miecznikowska,Hanna Miecznikowska,Noise,,1,1,hanna miecznikowska
Piotr Bieniek,Piotr Bieniek,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,piotr bieniek
Maria Szczepaniec,Maria Szczepaniec,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,maria szczepaniec
Josip Franic,Josip Franic,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,josip franic
Velde Der van lucas,Velde Der van lucas,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,velde der van lucas
Aleksandra Naganska,Aleksandra Naganska,Noise,,1,1,aleksandra naganska
Amarachukwu Anthony anyanwu,Amarachukwu Anthony anyanwu,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,amarachukwu anthony anyanwu
Ireneusz Miernik,Ireneusz Miernik,Noise,,1,1,miernik ireneusz
Nguyen Vo,Nguyen Vo,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,nguyen vo
Quynh Bui,Quynh Bui,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,quynh bui
Yu-ting Chiang,Yu-ting Chiang,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,yuting chiang
Ivano Bertini,Ivano Bertini,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,ivano bertini
Anna Legowska,Anna Legowska,Noise,,1,1,anna legowska
Oleh Bilyk,Oleh Bilyk,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,oleh bilyk
Rafal Sieradzki,Rafal Sieradzki,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,rafal sieradzki
Anna Turovtseva,Anna Turovtseva,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,anna turovtseva
Krystyna Slany,Krystyna Slany,Noise,,1,1,krystyna slany
Maria Lissowska,Maria Lissowska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,maria lissowska
Peep Palumaa,Peep Palumaa,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,peep palumaa
Dorota Mirowska-wierzbicka,Dorota Mirowska-wierzbicka,Noise,,1,1,dorota mirowskawierzbicka
Manuele Martinelli,Manuele Martinelli,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,manuele martinelli
Malgorzata Markiewicz,Malgorzata Markiewicz,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,malgorzata markiewicz
Jacek Kocerka,Jacek Kocerka,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,jacek kocerka
Marcin Sienicki,Marcin Sienicki,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,marcin sienicki
Steve Bond,Steve Bond,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,steve bond
Arshia Hashemi,Arshia Hashemi,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,arshia hashemi
Simone Ciofi-baffoni,Simone Ciofi-baffoni,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,simone ciofibaffoni
Monika Szulecka,Monika Szulecka,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,monika szulecka
Anna Ruzik-sierdzinska,Anna Ruzik-sierdzinska,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,anna ruziksierdzinska
Izabela Grabowska,Izabela Grabowska,Noise,,1,1,izabela grabowska
Anni Huhtala,Anni Huhtala,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,anni huhtala
Kornelia Wisniewska,Kornelia Wisniewska,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,kornelia wisniewska
Danny Campbell,Danny Campbell,Noise,,1,1,danny campbell
William H greene,William H greene,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,william h greene
Heini Ahtiainen,Heini Ahtiainen,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,heini ahtiainen
Janne Artell,Janne Artell,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,janne artell
Linus Hasselstrom,Linus Hasselstrom,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,linus hasselstrom
James Cr smart,James Cr smart,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,james cr smart
Leszek Lankiewicz,Leszek Lankiewicz,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,leszek lankiewicz
Tore Soderqvist,Tore Soderqvist,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,tore soderqvist
Mohammed H alemu,Mohammed H alemu,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,mohammed h alemu
Daija Angeli,Daija Angeli,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,daija angeli
Kim Dahlbo,Kim Dahlbo,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,kim dahlbo
Vivi Fleming-lehtinen,Vivi Fleming-lehtinen,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,vivi fleminglehtinen
Aljona Karloseva,Aljona Karloseva,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,aljona karloseva
Per Angelstam,Per Angelstam,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,per angelstam
Malgorzata Buszko-briggs,Malgorzata Buszko-briggs,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,malgorzata buszkobriggs
Marie Maar,Marie Maar,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,marie maar
Scasny M,Scasny M,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,milan scasny
Navrud S,Navrud S,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,stale navrud
Nielsen Seested j,Nielsen Seested j,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,nielsen seested j
Ortiz R,Ortiz R,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,ortiz r
Pellegrini S,Pellegrini S,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,pellegrini s
Rabl A,Rabl A,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,rabl a
Riera R,Riera R,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,riera r
Stoeckel M-e,Stoeckel M-e,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,stoeckel me
Dugald Tinch,Dugald Tinch,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,dugald tinch
Szanto R,Szanto R,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,szanto r
Urban J,Urban J,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,urban j
Tadeusz Kadziela,Tadeusz Kadziela,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,tadeusz kadziela
Katarzyna Januszewicz,Katarzyna Januszewicz,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,katarzyna januszewicz
Piotr Lampart,Piotr Lampart,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,piotr lampart
Pawel Kazimierski,Pawel Kazimierski,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,pawel kazimierski
Yulia Khaleeva,Yulia Khaleeva,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,yulia khaleeva
Louise Martinsen,Louise Martinsen,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,louise martinsen
Anne White,Anne White,Noise,,1,1,anne white
Maciej Pyrka,Maciej Pyrka,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,maciej pyrka
Przemyslaw Sikora,Przemyslaw Sikora,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,przemyslaw sikora
Jan Gaska,Jan Gaska,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,jan gaska
Erika Jorgensen,Erika Jorgensen,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,erika jorgensen
Ryszard Malarski,Ryszard Malarski,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,ryszard malarski
Wojciech Rabiega,Wojciech Rabiega,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,wojciech rabiega
Grzegorz Peszko,Grzegorz Peszko,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,grzegorz peszko
Maciej Cygler,Maciej Cygler,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,maciej cygler
Emilia Lewczuk,Emilia Lewczuk,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,emilia lewczuk
Krzysztof Rolka,Krzysztof Rolka,Noise,,1,1,krzysztof rolka
Michal Boni,Michal Boni,Noise,,1,1,michal boni
Rebecca Pogni,Rebecca Pogni,Noise,,1,1,rebecca pogni
Renata Stefanska,Renata Stefanska,Noise,,1,1,renata stefanska
Andrzej Kubisiak,Andrzej Kubisiak,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,andrzej kubisiak
Robert Jeszke,Robert Jeszke,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,robert jeszke
Weronika Urbanska,Weronika Urbanska,Noise,,1,1,weronika urbanska
Tea Nommann,Tea Nommann,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,tea nommann
Aleksandra Wisniewska,Aleksandra Wisniewska,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,aleksandra wisniewska
Kristine Pakalniete,Kristine Pakalniete,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,kristine pakalniete
Ieva Oskolokaite,Ieva Oskolokaite,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,ieva oskolokaite
Daiva Semeniene,Daiva Semeniene,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,daiva semeniene
Claire Armstrong,Claire Armstrong,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,claire armstrong
Christian A vossler,Christian A vossler,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,christian a vossler
Katarzyna Zagorska,Katarzyna Zagorska,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,katarzyna zagorska
Magdalena Zachlod-jelec,Magdalena Zachlod-jelec,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,magdalena zachlodjelec
Marek Luczkowski,Marek Luczkowski,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,marek luczkowski
Francesca Maria mancini,Francesca Maria mancini,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,francesca maria mancini
Peter Mieszkowski,Peter Mieszkowski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,peter mieszkowski
Jedrzej Matla,Jedrzej Matla,Noise,,1,1,jedrzej matla
Michal Antoszewski,Michal Antoszewski,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,michal antoszewski
Jakub Boratynski,Jakub Boratynski,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,jakub boratynski
Przemyslaw Kusztelak,Przemyslaw Kusztelak,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,przemyslaw kusztelak
Marcin Malawski,Marcin Malawski,Noise,,1,1,marcin malawski
Jones Cg,Jones Cg,Noise,,1,1,jones cg
Petch Jc,Petch Jc,Noise,,1,1,petch jc
Redelsperger J-l,Redelsperger J-l,Noise,,1,1,redelsperger jl
Chaboureau J-p,Chaboureau J-p,Noise,,1,1,chaboureau jp
Cheinet S,Cheinet S,Noise,,1,1,cheinet s
Grenier H,Grenier H,Noise,,1,1,grenier h
Kohler M,Kohler M,Noise,,1,1,kohler m
Warhaft Z,Warhaft Z,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,warhaft z
Piriou J-m,Piriou J-m,Noise,,1,1,piriou jm
Tailleux R,Tailleux R,Noise,,1,1,tailleux r
Tomasini M,Tomasini M,Noise,,1,1,tomasini m
Grazyna Szymanska,Grazyna Szymanska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,grazyna szymanska
Anna Zurawiecka,Anna Zurawiecka,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,anna zurawiecka
William D hall,William D hall,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,william d hall
Guichard F,Guichard F,Noise,,1,1,francoise guichard
Wang L-p,Wang L-p,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,wang lp
Adele Ossareh,Adele Ossareh,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,adele ossareh
Lulin Xue,Lulin Xue,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,lulin xue
Hanna Pawlowska,Hanna Pawlowska,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,hanna pawlowska
Derek J posselt,Derek J posselt,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,derek j posselt
Olivier P prat,Olivier P prat,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,olivier p prat
Karly J reimel,Karly J reimel,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,karly j reimel
Shin-ichiro Shima,Shin-ichiro Shima,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,shinichiro shima
Diedenhoven Van bastiaan,Diedenhoven Van bastiaan,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,diedenhoven van bastiaan
Devenish Bj,Devenish Bj,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,devenish bj
Vassilicos Jc,Vassilicos Jc,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,vassilicos jc
Peter Bartello,Peter Bartello,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,peter bartello
Brenguier J-l,Brenguier J-l,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,brenguier jl
Collins Lr,Collins Lr,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,collins lr
Ijzermans Rha,Ijzermans Rha,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,ijzermans rha
Szymon P malinowski,Szymon P malinowski,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,szymon p malinowski
Reeks Mw,Reeks Mw,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,reeks mw
Grabowski Ww,Grabowski Ww,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,grabowski ww
Cheng A,Cheng A,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,cheng a
Forbes R,Forbes R,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,forbes r
Bogdan Rosa,Bogdan Rosa,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,bogdan rosa
Wei-kuo Tao,Wei-kuo Tao,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,weikuo tao
Donghai Wang,Donghai Wang,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,donghai wang
Shao Cheng xie,Shao Cheng xie,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,shao cheng xie
Yio John j,Yio John j,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,yio john j
Ming-hua Zhang,Ming-hua Zhang,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,minghua zhang
Orlando Ayala,Orlando Ayala,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,orlando ayala
Moncrieff Mw,Moncrieff Mw,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,moncrieff mw
Halliwell C,Halliwell C,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,halliwell c
Terry L clark,Terry L clark,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,terry l clark
Ewa Witkowska,Ewa Witkowska,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,ewa witkowska
Ivan Skliarov,Ivan Skliarov,Noise,,1,1,ivan skliarov
Lucas Goczek,Lucas Goczek,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,lucas goczek
Karol J partyka,Karol J partyka,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,karol j partyka
Natasha Malyarenko,Natasha Malyarenko,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,natasha malyarenko
Charles J seman,Charles J seman,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,charles j seman
David A randall,David A randall,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,david a randall
Jon C petch,Jon C petch,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,jon c petch
Steven K krueger,Steven K krueger,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,steven k krueger
Daniel E johnson,Daniel E johnson,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,daniel e johnson
Leo J donner,Leo J donner,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,leo j donner
Richard T cederwall,Richard T cederwall,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,richard t cederwall
Kuan-man Xu,Kuan-man Xu,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,kuanman xu
Xu K-m,Xu K-m,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,xu km
Wong R,Wong R,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,wong r
Tao W-k,Tao W-k,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,tao wk
Nasuno T,Nasuno T,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,nasuno t
Lang S,Lang S,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,lang s
Jason A milbrandt,Jason A milbrandt,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,jason a milbrandt
Matthew R kumjian,Matthew R kumjian,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,matthew r kumjian
Alexei Korolev,Alexei Korolev,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,alexei korolev
Siwinska-gorzelak Joanna,Siwinska-gorzelak Joanna,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,joanna siwinskagorzelak
Faisal Mehmood mirza,Faisal Mehmood mirza,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,faisal mehmood mirza
Zhiqiang Ma,Zhiqiang Ma,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,ma zhiqiang
Muhammad Wasif zafar,Muhammad Wasif zafar,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,muhammad wasif zafar
Abdul Haseeb,Abdul Haseeb,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,abdul haseeb
Ali Hashemizadeh,Ali Hashemizadeh,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,ali hashemizadeh
Bukowska Grazyna,Bukowska Grazyna,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,grazyna bukowska
Kula Grzegorz,Kula Grzegorz,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,grzegorz kula
